date_day,day_of_week,day_of_week_num,month,month_name,quarter,year,week_of_year,is_weekend,is_holiday_vn
2024-06-19,Wednesday,3,6,June,2,2024,25,False,False
2024-06-20,Thursday,4,6,June,2,2024,25,False,False
2024-06-21,Friday,5,6,June,2,2024,25,False,False
2024-06-22,Saturday,6,6,June,2,2024,25,True,False
2024-06-23,Sunday,7,6,June,2,2024,25,True,False
2024-06-24,Monday,1,6,June,2,2024,26,False,False
2024-06-25,Tuesday,2,6,June,2,2024,26,False,False
2024-06-26,Wednesday,3,6,June,2,2024,26,False,False
2024-06-27,Thursday,4,6,June,2,2024,26,False,False
2024-06-28,Friday,5,6,June,2,2024,26,False,False
2024-06-29,Saturday,6,6,June,2,2024,26,True,False
2024-06-30,Sunday,7,6,June,2,2024,26,True,False
2024-07-01,Monday,1,7,July,3,2024,27,False,False
2024-07-02,Tuesday,2,7,July,3,2024,27,False,False
2024-07-03,Wednesday,3,7,July,3,2024,27,False,False
2024-07-04,Thursday,4,7,July,3,2024,27,False,False
2024-07-05,Friday,5,7,July,3,2024,27,False,False
2024-07-06,Saturday,6,7,July,3,2024,27,True,False
2024-07-07,Sunday,7,7,July,3,2024,27,True,False
2024-07-08,Monday,1,7,July,3,2024,28,False,False
2024-07-09,Tuesday,2,7,July,3,2024,28,False,False
2024-07-10,Wednesday,3,7,July,3,2024,28,False,False
2024-07-11,Thursday,4,7,July,3,2024,28,False,False
2024-07-12,Friday,5,7,July,3,2024,28,False,False
2024-07-13,Saturday,6,7,July,3,2024,28,True,False
2024-07-14,Sunday,7,7,July,3,2024,28,True,False
2024-07-15,Monday,1,7,July,3,2024,29,False,False
2024-07-16,Tuesday,2,7,July,3,2024,29,False,False
2024-07-17,Wednesday,3,7,July,3,2024,29,False,False
2024-07-18,Thursday,4,7,July,3,2024,29,False,False
2024-07-19,Friday,5,7,July,3,2024,29,False,False
2024-07-20,Saturday,6,7,July,3,2024,29,True,False
2024-07-21,Sunday,7,7,July,3,2024,29,True,False
2024-07-22,Monday,1,7,July,3,2024,30,False,False
2024-07-23,Tuesday,2,7,July,3,2024,30,False,False
2024-07-24,Wednesday,3,7,July,3,2024,30,False,False
2024-07-25,Thursday,4,7,July,3,2024,30,False,False
2024-07-26,Friday,5,7,July,3,2024,30,False,False
2024-07-27,Saturday,6,7,July,3,2024,30,True,False
2024-07-28,Sunday,7,7,July,3,2024,30,True,False
2024-07-29,Monday,1,7,July,3,2024,31,False,False
2024-07-30,Tuesday,2,7,July,3,2024,31,False,False
2024-07-31,Wednesday,3,7,July,3,2024,31,False,False
2024-08-01,Thursday,4,8,August,3,2024,31,False,False
2024-08-02,Friday,5,8,August,3,2024,31,False,False
2024-08-03,Saturday,6,8,August,3,2024,31,True,False
2024-08-04,Sunday,7,8,August,3,2024,31,True,False
2024-08-05,Monday,1,8,August,3,2024,32,False,False
2024-08-06,Tuesday,2,8,August,3,2024,32,False,False
2024-08-07,Wednesday,3,8,August,3,2024,32,False,False
2024-08-08,Thursday,4,8,August,3,2024,32,False,False
2024-08-09,Friday,5,8,August,3,2024,32,False,False
2024-08-10,Saturday,6,8,August,3,2024,32,True,False
2024-08-11,Sunday,7,8,August,3,2024,32,True,False
2024-08-12,Monday,1,8,August,3,2024,33,False,False
2024-08-13,Tuesday,2,8,August,3,2024,33,False,False
2024-08-14,Wednesday,3,8,August,3,2024,33,False,False
2024-08-15,Thursday,4,8,August,3,2024,33,False,False
2024-08-16,Friday,5,8,August,3,2024,33,False,False
2024-08-17,Saturday,6,8,August,3,2024,33,True,False
2024-08-18,Sunday,7,8,August,3,2024,33,True,False
2024-08-19,Monday,1,8,August,3,2024,34,False,False
2024-08-20,Tuesday,2,8,August,3,2024,34,False,False
2024-08-21,Wednesday,3,8,August,3,2024,34,False,False
2024-08-22,Thursday,4,8,August,3,2024,34,False,False
2024-08-23,Friday,5,8,August,3,2024,34,False,False
2024-08-24,Saturday,6,8,August,3,2024,34,True,False
2024-08-25,Sunday,7,8,August,3,2024,34,True,False
2024-08-26,Monday,1,8,August,3,2024,35,False,False
2024-08-27,Tuesday,2,8,August,3,2024,35,False,False
2024-08-28,Wednesday,3,8,August,3,2024,35,False,False
2024-08-29,Thursday,4,8,August,3,2024,35,False,False
2024-08-30,Friday,5,8,August,3,2024,35,False,False
2024-08-31,Saturday,6,8,August,3,2024,35,True,False
2024-09-01,Sunday,7,9,September,3,2024,35,True,False
2024-09-02,Monday,1,9,September,3,2024,36,False,True
2024-09-03,Tuesday,2,9,September,3,2024,36,False,False
2024-09-04,Wednesday,3,9,September,3,2024,36,False,False
2024-09-05,Thursday,4,9,September,3,2024,36,False,False
2024-09-06,Friday,5,9,September,3,2024,36,False,False
2024-09-07,Saturday,6,9,September,3,2024,36,True,False
2024-09-08,Sunday,7,9,September,3,2024,36,True,False
2024-09-09,Monday,1,9,September,3,2024,37,False,False
2024-09-10,Tuesday,2,9,September,3,2024,37,False,False
2024-09-11,Wednesday,3,9,September,3,2024,37,False,False
2024-09-12,Thursday,4,9,September,3,2024,37,False,False
2024-09-13,Friday,5,9,September,3,2024,37,False,False
2024-09-14,Saturday,6,9,September,3,2024,37,True,False
2024-09-15,Sunday,7,9,September,3,2024,37,True,False
2024-09-16,Monday,1,9,September,3,2024,38,False,False
2024-09-17,Tuesday,2,9,September,3,2024,38,False,False
2024-09-18,Wednesday,3,9,September,3,2024,38,False,False
2024-09-19,Thursday,4,9,September,3,2024,38,False,False
2024-09-20,Friday,5,9,September,3,2024,38,False,False
2024-09-21,Saturday,6,9,September,3,2024,38,True,False
2024-09-22,Sunday,7,9,September,3,2024,38,True,False
2024-09-23,Monday,1,9,September,3,2024,39,False,False
2024-09-24,Tuesday,2,9,September,3,2024,39,False,False
2024-09-25,Wednesday,3,9,September,3,2024,39,False,False
2024-09-26,Thursday,4,9,September,3,2024,39,False,False
2024-09-27,Friday,5,9,September,3,2024,39,False,False
2024-09-28,Saturday,6,9,September,3,2024,39,True,False
2024-09-29,Sunday,7,9,September,3,2024,39,True,False
2024-09-30,Monday,1,9,September,3,2024,40,False,False
2024-10-01,Tuesday,2,10,October,4,2024,40,False,False
2024-10-02,Wednesday,3,10,October,4,2024,40,False,False
2024-10-03,Thursday,4,10,October,4,2024,40,False,False
2024-10-04,Friday,5,10,October,4,2024,40,False,False
2024-10-05,Saturday,6,10,October,4,2024,40,True,False
2024-10-06,Sunday,7,10,October,4,2024,40,True,False
2024-10-07,Monday,1,10,October,4,2024,41,False,False
2024-10-08,Tuesday,2,10,October,4,2024,41,False,False
2024-10-09,Wednesday,3,10,October,4,2024,41,False,False
2024-10-10,Thursday,4,10,October,4,2024,41,False,False
2024-10-11,Friday,5,10,October,4,2024,41,False,False
2024-10-12,Saturday,6,10,October,4,2024,41,True,False
2024-10-13,Sunday,7,10,October,4,2024,41,True,False
2024-10-14,Monday,1,10,October,4,2024,42,False,False
2024-10-15,Tuesday,2,10,October,4,2024,42,False,False
2024-10-16,Wednesday,3,10,October,4,2024,42,False,False
2024-10-17,Thursday,4,10,October,4,2024,42,False,False
2024-10-18,Friday,5,10,October,4,2024,42,False,False
2024-10-19,Saturday,6,10,October,4,2024,42,True,False
2024-10-20,Sunday,7,10,October,4,2024,42,True,False
2024-10-21,Monday,1,10,October,4,2024,43,False,False
2024-10-22,Tuesday,2,10,October,4,2024,43,False,False
2024-10-23,Wednesday,3,10,October,4,2024,43,False,False
2024-10-24,Thursday,4,10,October,4,2024,43,False,False
2024-10-25,Friday,5,10,October,4,2024,43,False,False
2024-10-26,Saturday,6,10,October,4,2024,43,True,False
2024-10-27,Sunday,7,10,October,4,2024,43,True,False
2024-10-28,Monday,1,10,October,4,2024,44,False,False
2024-10-29,Tuesday,2,10,October,4,2024,44,False,False
2024-10-30,Wednesday,3,10,October,4,2024,44,False,False
2024-10-31,Thursday,4,10,October,4,2024,44,False,False
2024-11-01,Friday,5,11,November,4,2024,44,False,False
2024-11-02,Saturday,6,11,November,4,2024,44,True,False
2024-11-03,Sunday,7,11,November,4,2024,44,True,False
2024-11-04,Monday,1,11,November,4,2024,45,False,False
2024-11-05,Tuesday,2,11,November,4,2024,45,False,False
2024-11-06,Wednesday,3,11,November,4,2024,45,False,False
2024-11-07,Thursday,4,11,November,4,2024,45,False,False
2024-11-08,Friday,5,11,November,4,2024,45,False,False
2024-11-09,Saturday,6,11,November,4,2024,45,True,False
2024-11-10,Sunday,7,11,November,4,2024,45,True,False
2024-11-11,Monday,1,11,November,4,2024,46,False,False
2024-11-12,Tuesday,2,11,November,4,2024,46,False,False
2024-11-13,Wednesday,3,11,November,4,2024,46,False,False
2024-11-14,Thursday,4,11,November,4,2024,46,False,False
2024-11-15,Friday,5,11,November,4,2024,46,False,False
2024-11-16,Saturday,6,11,November,4,2024,46,True,False
2024-11-17,Sunday,7,11,November,4,2024,46,True,False
2024-11-18,Monday,1,11,November,4,2024,47,False,False
2024-11-19,Tuesday,2,11,November,4,2024,47,False,False
2024-11-20,Wednesday,3,11,November,4,2024,47,False,False
2024-11-21,Thursday,4,11,November,4,2024,47,False,False
2024-11-22,Friday,5,11,November,4,2024,47,False,False
2024-11-23,Saturday,6,11,November,4,2024,47,True,False
2024-11-24,Sunday,7,11,November,4,2024,47,True,False
2024-11-25,Monday,1,11,November,4,2024,48,False,False
2024-11-26,Tuesday,2,11,November,4,2024,48,False,False
2024-11-27,Wednesday,3,11,November,4,2024,48,False,False
2024-11-28,Thursday,4,11,November,4,2024,48,False,False
2024-11-29,Friday,5,11,November,4,2024,48,False,False
2024-11-30,Saturday,6,11,November,4,2024,48,True,False
2024-12-01,Sunday,7,12,December,4,2024,48,True,False
2024-12-02,Monday,1,12,December,4,2024,49,False,False
2024-12-03,Tuesday,2,12,December,4,2024,49,False,False
2024-12-04,Wednesday,3,12,December,4,2024,49,False,False
2024-12-05,Thursday,4,12,December,4,2024,49,False,False
2024-12-06,Friday,5,12,December,4,2024,49,False,False
2024-12-07,Saturday,6,12,December,4,2024,49,True,False
2024-12-08,Sunday,7,12,December,4,2024,49,True,False
2024-12-09,Monday,1,12,December,4,2024,50,False,False
2024-12-10,Tuesday,2,12,December,4,2024,50,False,False
2024-12-11,Wednesday,3,12,December,4,2024,50,False,False
2024-12-12,Thursday,4,12,December,4,2024,50,False,False
2024-12-13,Friday,5,12,December,4,2024,50,False,False
2024-12-14,Saturday,6,12,December,4,2024,50,True,False
2024-12-15,Sunday,7,12,December,4,2024,50,True,False
2024-12-16,Monday,1,12,December,4,2024,51,False,False
2024-12-17,Tuesday,2,12,December,4,2024,51,False,False
2024-12-18,Wednesday,3,12,December,4,2024,51,False,False
2024-12-19,Thursday,4,12,December,4,2024,51,False,False
2024-12-20,Friday,5,12,December,4,2024,51,False,False
2024-12-21,Saturday,6,12,December,4,2024,51,True,False
2024-12-22,Sunday,7,12,December,4,2024,51,True,False
2024-12-23,Monday,1,12,December,4,2024,52,False,False
2024-12-24,Tuesday,2,12,December,4,2024,52,False,False
2024-12-25,Wednesday,3,12,December,4,2024,52,False,False
2024-12-26,Thursday,4,12,December,4,2024,52,False,False
2024-12-27,Friday,5,12,December,4,2024,52,False,False
2024-12-28,Saturday,6,12,December,4,2024,52,True,False
2024-12-29,Sunday,7,12,December,4,2024,52,True,False
2024-12-30,Monday,1,12,December,4,2024,1,False,False
2024-12-31,Tuesday,2,12,December,4,2024,1,False,False
